iter	Passed	Remaining
0	145	145433
1	146	73038
2	147	48871
3	147	36758
4	148	29481
5	148	24629
6	149	21174
7	149	18574
8	150	16554
9	150	14935
10	151	13612
11	151	12512
12	152	11583
13	153	10783
14	153	10089
15	154	9478
16	154	8941
17	155	8463
18	155	8040
19	156	7657
20	156	7312
21	157	6997
22	157	6710
23	158	6447
24	159	6204
25	159	5978
26	160	5768
27	160	5572
28	161	5393
29	161	5224
30	162	5067
31	162	4918
32	163	4779
33	163	4649
34	164	4527
35	164	4417
36	165	4312
37	166	4209
38	166	4110
39	167	4017
40	168	3930
41	168	3846
42	169	3765
43	169	3687
44	170	3611
45	170	3543
46	171	3475
47	171	3411
48	172	3348
49	173	3287
50	173	3229
51	174	3174
52	174	3120
53	175	3069
54	175	3021
55	176	2973
56	176	2927
57	177	2883
58	178	2840
59	178	2799
60	179	2760
61	179	2720
62	180	2683
63	181	2647
64	181	2613
65	182	2579
66	182	2545
67	183	2513
68	184	2482
69	184	2451
70	185	2421
71	185	2391
72	186	2363
73	186	2336
74	187	2311
75	188	2285
76	188	2259
77	188	2233
78	189	2209
79	190	2186
80	190	2162
81	191	2140
82	191	2115
83	192	2095
84	192	2075
85	193	2055
86	193	2035
87	194	2015
88	194	1995
89	195	1976
90	196	1961
91	196	1943
92	197	1925
93	197	1908
94	198	1891
95	199	1874
96	199	1857
97	200	1841
98	200	1825
99	201	1810
100	201	1796
101	202	1782
102	203	1768
103	203	1753
104	204	1739
105	204	1725
106	205	1713
107	205	1699
108	206	1687
109	206	1674
110	207	1661
111	208	1650
112	208	1638
113	209	1627
114	209	1615
115	210	1603
116	210	1591
117	211	1579
118	212	1570
119	212	1559
120	213	1549
121	213	1538
122	214	1529
123	215	1520
124	215	1510
125	216	1500
126	216	1490
127	217	1481
128	217	1471
129	218	1461
130	218	1451
131	219	1442
132	219	1432
133	220	1424
134	220	1415
135	221	1406
136	221	1397
137	222	1388
138	222	1380
139	223	1371
140	223	1363
141	224	1353
142	224	1345
143	224	1337
144	225	1329
145	225	1321
146	226	1314
147	226	1306
148	227	1299
149	228	1292
150	228	1284
151	228	1277
152	229	1270
153	229	1263
154	230	1256
155	230	1249
156	231	1242
157	231	1235
158	232	1229
159	233	1223
160	233	1216
161	233	1209
162	234	1203
163	234	1197
164	235	1191
165	235	1185
166	236	1179
167	236	1173
168	237	1167
169	237	1161
170	238	1156
171	239	1150
172	239	1144
173	239	1139
174	240	1133
175	241	1128
176	241	1123
177	242	1117
178	242	1112
179	243	1107
180	243	1101
181	243	1096
182	244	1091
183	245	1087
184	245	1081
185	246	1076
186	246	1071
187	246	1066
188	247	1062
189	248	1057
190	248	1053
191	249	1049
192	249	1044
193	250	1040
194	251	1036
195	251	1031
196	252	1027
197	252	1022
198	252	1018
199	253	1013
200	254	1009
201	254	1005
202	255	1001
203	255	997
204	256	992
